観光地名,短文説明,タグ,住所,緯度経度,画像,電話番号,ホームページ,Twitter,Instagram,Youtube,GoogleMapリンク,インフォ,詳細説明,追加画像1,追加画像2,追加画像3,追加画像4
吉備高原リゾートホテル,,アクティビティ ツーリング デート ファミリー ホテル 地産地消 宿泊,吉備中央町吉川4860−6,"34.834964,133.760723",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/12/0f6a67779a8c9270922644595b89c4be1c92955e.47.9.26.3-e1671351280238-600x400.jpg,0866567170,https://kibikougen-resort.com,,https://www.instagram.com/kibikougen.rh,,"https://www.google.com/maps/place/%E5%90%89%E5%82%99%E9%AB%98%E5%8E%9F%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB/@34.834964,133.760723,15z/data=!4m2!3m1!1s0x0:0xe25cf9f2506e7a23?sa=X&ved=2ahUKEwi8joKe7or8AhXLk1YBHWZlAbUQ_BJ6BQiAARAH",,"澄んだ空気と、緑豊かな自然に囲まれた環境にある吉備高原リゾートホテルでは
乗馬体験やブルーベリー狩りなどのアクティビティや
吉備高原の山里の幸、瀬戸内の味覚をたっぷり盛り込んだお料理をご堪能いただけます。

岡山空港へのアクセスを利用した旅や出張の宿泊や
備中松山城の雲海「天空の城」を一望する際の羽休めとしてもご利用できます。
天空の城、備中松山城を見渡せる展望台まではホテルから車で25分程度です。

様々な宿泊プランのほか各種宴会、貸し会議室
電動アシスト付きレンタル自転車のご予約も可能となっています。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
西谷邸「旭楽庭」,,散策 歴史・文化 自然 重森三玲,,,https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/12/4.png,0866541301,https://www.town.kibichuo.lg.jp/site/kanko/36.html,,,,,"#### ご予約・お問合せ（吉備中央町協働推進課）
平日：8:30〜17:15","吉備中央町吉川地区出身であり昭和を代表する造園学者である重森三玲の作品です。

重森三玲氏の知人だった西谷氏の依頼により、三玲氏が本格的に庭園を勉強する前の昭和4年に作られたという、南方の山々が借景として利用された「旭楽庭（きょくらくてい）」。
大きな石を運搬するような道具もなかった当時に、見事な石を使った庭園を作り上げています。
また庭を支える生垣には、お城などによく見られる武者返しを用いており、そちらの景観も見所のひとつです。三玲の作品としては3作目と言われていますが、現存するものでは最古です。

「重森三玲記念館」と合わせて見学してみて下さい。

◆重森三玲記念館

重森三玲・・・
日本美術学校で日本画を学び、その後造園、庭園学を独学で学び、氏独特のモダンを取り入れた枯山水庭園を各地に残す一方で、日本の伝統美である茶道、華道の奥義を極め、全国各地の古庭園の鑑別保存調査事業も行うなど、日本庭園界に多大なる功績を与えました。吉備中央町吉川地区出身。

※個人宅のため見学は要予約

 

◎重森三玲ゆかりのスポットを巡るオススメのプランがあります！


 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
宇甘渓,,アウトドア ツーリング デート ファミリー 散策 桜 紅葉 自然,吉備中央町下加茂1760付近,"34.8487203,133.8335365",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/ukankei1-600x400.jpg,,https://www.town.kibichuo.lg.jp/site/kanko/54.html,,,,"https://www.google.com/maps/place/%E5%AE%87%E7%94%98%E6%B8%93/@34.8487203,133.8335365,16.71z/data=!4m5!3m4!1s0x35541c53f8f15f35:0xa18efe6864d48be9!8m2!3d34.8492557!4d133.8337936",,"春は山桜に新緑、夏は川遊び、秋は紅葉、冬は雪景色と四季折々の自然を満喫できるスポット。
見どころはシンボルの「赤橋」や、奇岩そそり立つ山肌の景観、水辺の散策道などです。

特に｢赤橋｣と紅葉のコントラストはフォトジェニックで、見頃の時期になると多くの見学者で賑わいます。
紅葉の見頃は例年11月中旬ごろ。その期間の夜には「赤橋」にライトアップが行われています。",,,,
民家喫茶 童子,,カフェ グルメ スイーツ テイクアウト ランチ 和食 地産地消 癒し 買い物,吉備中央町上加茂1896-1,"34.8392261,133.7980133",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-40-600x400.png,0867-34-1905,,,https://www.instagram.com/douji_baaco/,,"https://www.google.com/maps/place/%E7%AB%A5%E5%AD%90/@34.8392261,133.7980133,16z/data=!4m5!3m4!1s0x35541d70f2d1f375:0xb7d76cbe8af6e2fd!8m2!3d34.8409066!4d133.8006287","#### 定休日
木曜・日曜

#### 営業時間(ランチ)
11:00〜14:00(L.O.)

#### 営業時間(居酒屋)
※金曜・土曜のみ
※予約制(当日14時まで)
18:00〜22:00(L.O.)","田舎の祖父母の家のようなホッとして安らぐ空間で頂く和定食は、心も体も満たされます。
店内には委託作家さんの手作り雑貨も並んでいて、お気に入りの作品に出会えるかも。

金曜・土曜には限定でおうち居酒屋をオープン。夜も楽しめます。

※臨時休業があります。
詳しくは店舗SNSでご確認ください。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
自然レクリエーション区,,アウトドア アクティビティ スポーツ デート ファミリー 散策 桜 紅葉 自然,吉備中央町湯山1300-32,"34.8147136,133.6996787",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-37-600x400.png,0866568255,,,,,"https://www.google.com/maps/@34.8147136,133.6996787,14.47z",,"吉備高原都市の北側に位置する区域で、小高い山の中に遊歩道やマウンテンバイク用のコースが設計されています。
展望台からは吉備高原都市が一望でき、季節ごとに綺麗な景観を楽しむことができます。
登り口前には駐車場やトイレがあり、多くの人に利用しやすい環境となっています。

コースの詳しい情報等は MAP をダウンロードしてご確認ください。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
キッズパーク,,アクティビティ ファミリー ,吉備中央町吉川4860－6（きびプラザ2F）,"34.83479,133.758075",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-36-600x400.png,0866-54-1328,https://www.town.kibichuo.lg.jp/soshiki/10/9401.html,,,,"https://www.google.com/maps/place/%E3%82%AD%E3%83%83%E3%82%BA%E3%83%91%E3%83%BC%E3%82%AF/@34.834904,133.7568801,17z/data=!3m1!4b1!4m5!3m4!1s0x3556a989cfba47e3:0xe30cbf28c9d22049!8m2!3d34.8348996!4d133.759455","#### 開館日
月～日曜

#### 休館日
火曜(祝日の場合は翌日)

#### 開館時間
9:30〜12:00、13:00〜16:30

#### 利用料金
無料","きびプラザ２階にある、未就学児を対象とした安全に安心して遊べる屋内型子ども広場です。

子育て世代に人気の町営施設で、町内外を問わず無料で利用できます。

ボールプール、ウォールクライミングなどもあります。

 

0歳〜2歳児を対象としたおもちゃを取り揃え

知育玩具やクッション性に優れた安全な道具を設置した多目的室や

3歳〜6歳児を対象にした大型道具を配置し

子どもたちが安全に自由に遊べ、親御さん同士も交流できる多世代交流室があります。

 

＜にじいろ広場＞
きびプラザに隣接した芝生エリアにある、キッズパークの屋外広場です。

 

※最新の利用時間は「吉備中央町役場 子育て推進課」のお知らせをご確認ください。

※大雨等の警報が発令された際は臨時休館となります。

 

お問い合わせ
・吉備中央町役場 子育て推進課 子育て推進班 0866-54-1328（平日　8:30〜17:15）
・キッズパーク直通　0866-56-7010 (土日祝　9:30〜16:00）

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
岡崎嘉平太記念館,,歴史・文化 記念館・資料館,吉備中央町吉川4860－6（きびプラザ1F）,"34.83479,133.758075",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-35-600x400.png,0866569033,https://www.okazaki-kaheita.jp,,https://www.instagram.com/okazakikaheita/,,"https://www.google.com/maps/@34.8147136,133.6996787,14.47z","#### 定休日
火曜日（祝日を除く）、祝日の翌日（土日祝日を除く）

#### 営業時間
9:00〜17:00（入館は16:30まで）

#### 入館料
無料","日中友好に生涯を尽くした吉備中央町大和地区出身の岡崎嘉平太氏。
その数多くの功績と人柄を後世に永く伝えるために設置された記念館です。

 

＜岡崎嘉平太＞
岡崎嘉平太氏は、明治30年(1897)岡山県吉備郡大和村(現加賀郡吉備中央町)で生まれ平成元年(1989)に92歳で亡くなりました。賀陽町(現吉備中央町)名誉町民、総社市名誉市民、岡山県名誉県民である岡崎氏は財界人として活躍するとともに、戦後100回にのぼる訪中を通じて、日中の国交正常化に大きく貢献しました。

「私は、かねてから人間には信と愛が必要だと思います。・・・・
たて糸の信とよこの糸の愛、それが織りなす社会こそ真に美しいもの と思っています。」
（岡崎嘉平太著「たてのいとよこの糸」 貯蓄増強中央委員会昭和四十五年発行より)

常に信頼と愛情に支えられた誠実な嘉平太氏の人柄は人々の信頼の的であり、先に紹介した栄誉に加えて、勲一等瑞宝章などの称号が贈られています。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
きびプラザ,,グルメ ツーリング テイクアウト ファミリー ホテル ランチ レストラン 宿泊 記念館・資料館 買い物,吉備中央町吉川4860-6,"34.83479,133.758075",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-34-600x400.png,0866568255,http://www.kibicity.ne.jp/shop/,,https://www.instagram.com/kibikogencity/,,"https://www.google.com/maps/@34.8147136,133.6996787,14.47z",,"日本を代表する建築家・黒川紀章氏の設計で、吉備高原都市のシンボルにあたる場所です。飲食店、コンビニ、ホテル、銀行などが集まる複合施設となっており、吉備中央町観光協会も本施設内で観光案内を行っています。ぜひお立ち寄りください。

また、きびプラザに隣接した「さんさん広場」では様々なイベントが随時行われ、多くの人が賑わいます。にじいろ広場、吉備中央公園にも隣接しています。 町内観光の基点としてどうぞご活用ください。

 

・・・ きびプラザご利用に関するお問い合わせ ・・・

(株)吉備高原都市サービス[管理事務所]

営業時間 ８：３０〜１７：１５
定休日 土・日・祝
TEL ０８６６ー５６ー８２５５

 

◆岡山桃太郎空港から吉備中央町（きびプラザ）、高梁市（備中高梁駅・吹屋ふるさと村）を経由し、新見駅の間を結ぶ無料周遊バス（愛称：かんとり〜バス）が運行されます。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
かよう青空市,,ツーリング ファミリー 地産地消 果物 米 自然 買い物 農産物 野菜,吉備中央町吉川4469,"34.816088,133.7023735",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-33-600x400.png,0866-56-8078,https://www.ja-hareoka.or.jp/market/kayou.php,,,,"https://www.google.com/maps/@34.8147136,133.6996787,14.47z","#### 営業時間
8:00〜16:30

#### 定休日
年末年始（12/31〜1/3）","JA晴れの国岡山 かよう青空市では吉備高原の新鮮な野菜や特産品が
直売所だからこそのお手頃価格で取り揃えられています。生産者さん自ら加工した商品もあります。
お得で美味しい食材を手土産に１ついかがでしょうか。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
国立吉備青少年自然の家,,アウトドア アクティビティ キャンプ ファミリー 宿泊 散策 紅葉 自然,吉備中央町吉川4393-82,"34.823927,133.7623205",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-31-600x400.png,0866567231,https://kibi.niye.go.jp,,,,"https://www.google.com/maps/place/%E5%9B%BD%E7%AB%8B%E5%90%89%E5%82%99%E9%9D%92%E5%B0%91%E5%B9%B4%E8%87%AA%E7%84%B6%E3%81%AE%E5%AE%B6/@34.823927,133.7623205,16z/data=!4m5!3m4!1s0x3556a8690e1614df:0xcc42b7315905c028!8m2!3d34.8239266!4d133.7653591","#### 電話取次時間
9:00～17:30（年末年始・休館日を除く）","「体験の風を起こそう」をキャッチフレーズに、さまざまな体験活動を通じて、子どもたちのたくましく豊かな心を育てることを目的に様々な事業を行っています。一般の方も「鳴滝湖」や赤松林に囲まれた自然を散策したり、アスレチックや様々な体験活動ができます。

※施設利用（散策やアスレチックの利用を含む）には予約・受付が必要です。
※団体利用と重複する時にはご利用頂けないこともありますので、事前にご予約をおすすめします。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
吉川八幡宮,,歴史・文化 神社・仏閣 紅葉 自然,吉備中央町吉川3932,"34.7546325,133.6724985",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-28-600x400.png,0866-54-1410,https://www.kibitabi.jp/toubansai/,,,,"https://www.google.com/maps/@34.8147136,133.6996787,14.47z",,"永長元年(1096)に京都の石清水八幡宮の別宮として創建されました。本殿は国の重要文化財に指定されています。また昔話「開けずの箱」の舞台となった神社です。

吉川の地は平安時代末期、石清水八幡宮の荘園となっていたことから双方の関係は深く、鎌倉時代初期の説話集『古事談』によると「石清水八幡宮の楽人である元正が、当社の大祭にはるばる下向し秘楽を奉納した」との記述が見られます。

 

＜吉川八幡宮当番祭＞
吉川八幡宮で毎年10月1日から10月下旬まで１ヶ月近く続く秋の大祭で、古代から伝承された民衆的な祭りでもあり、日本的な感傷やユーモアを祭りの全体を通して伺い知ることができる文化的価値の高い祭りです。

1ヶ月続く祭り
当番祭とは「訪問する最初の祭り」という意味であり２社以上の八幡宮の氏子互いに訪問し合い、氏子の反映と豊穣を神に祈り同族の絆を深める祭りです。
祭りは「当ざし」という神事で吉川地区の男児（10歳前後）を神社の南北から1人づつ選ばれた候補者の氏名を書き込んだ紙片を丸めて三宝にのせ、宮司祝詞を奏でながら御幣によってつり上げ、当人を決めることから始まります。
10月第3土曜日には「垢離（こり）とり（心を守る）」で当番が神人になり、後日神の降臨をあおぐ「はくけ」という工作物を当番の家の庭に作り、古式にのっとり諸神事を行います。

大祭
第4土曜日が宵祭、第4日曜日に大祭が行われ、当家で着飾った馬に乗った当番を中心とした行列が神社に参拝し祭りのクライマックスである「走り競べ」の行事を行います。大祭翌日の「はくけあげ」の神事で昇神し、当番が俗人にかえり、祭りが終わります。

＜民話＞
開けずの箱
吉備中央町には、加茂大祭や吉川八幡宮の当番祭と、県下でも有名なお祭りがある。その当番祭が行われる吉川八幡宮ができた頃の話じゃ・・・・",,,,
西身延 妙本寺,,散策 歴史・文化 神社・仏閣 紅葉 自然 重森三玲,吉備中央町北1501,"34.7754421,133.6966541",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-27-600x400.png,0866-55-5012,http://www.kibi.ne.jp/~otera12/,,,,"https://www.google.com/maps/@34.8147136,133.6996787,14.47z",,"日蓮宗の西国布教の拠点になったことから「西身延」と呼ばれている寺。
本堂の屋根は杮葺き(こけらぶき)で、木の薄板を幾重にも重ねて施工されており、県の重要文化財に指定されています。

そして境内の番神堂は国の重要文化財となっています。

＜番神堂＞
番神堂とは神仏習合時代の三十番神（さんじゅうばんしん）を勧請(神仏の来臨を願うこと)したお堂で三十番神（さんじゅうばんしん）は、神仏習合の信仰で、毎日交替で国家や国民などを守護するとされた30体の神々のことです。お好きな神様の時に決まってお参りに来る方もいらっしゃるそうです。",,,,
道の駅かよう,,アクティビティ お土産 グルメ スイーツ ツーリング テイクアウト ファミリー ブッポウソウ ランチ レストラン 和食 地産地消 果物 米 自然 買い物 農産物 野菜,吉備中央町北1974,"34.8147136,133.6996787",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-26-600x400.png,"0866556008
",https://www.rakuten.ne.jp/gold/kibi/,,https://www.instagram.com/explore/locations/5270525/,,"https://www.google.com/maps/place/%E9%81%93%E3%81%AE%E9%A7%85+%E3%81%8B%E3%82%88%E3%81%86/@34.8147136,133.6996787,14.47z/data=!4m5!3m4!1s0x0:0xa6a93d396199b1bd!8m2!3d34.8160984!4d133.7049566","#### 直売所/ローソンＳ高原マーケットかよう
9:00〜18:00

0866-55-6008

#### 和風レストランかよう
9:00〜18:00

0866-55-9011","吉備高原の新鮮な野菜や、お土産にぴったりな特産のブルーベリーを使用した商品が充実しています。
敷地内には、レストランやコンビニもあります。
そしてブルーベリー狩り、ブルーベリージャム作り体験などの体験メニューもあります。
またブッポウソウの巣箱のライブ映像を楽しむこともできます。

賀陽インターチェンジから国道４８４号沿いに東へ車で３分。
岡山市・倉敷市から車で約１時間前後（岡山自動車道で約２０分）でお越しいただけます。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
大和神社,,歴史・文化 神社・仏閣 ,吉備中央町宮地445,"34.7973274,133.7018761",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-25-600x400.png,0866-54-1410,https://www.okayama-jinjacho.or.jp/search/18542/,,,,"https://www.google.com/maps/place/%E5%A4%A7%E5%92%8C%E7%A5%9E%E7%A4%BE/@34.7973318,133.6996874,17z/data=!3m1!4b1!4m5!3m4!1s0x3556aea70ebde483:0x68b2ed58c403caf7!8m2!3d34.7973274!4d133.7018761",,"昔話「大和神社の爪なし竜」の舞台になっている神社。
お話にでてくる爪のない竜の彫り物をお宮の拝殿で実際に確認することができます。

 

＜民話＞
大和神社のつめなし竜
宮地の小さな山の上に、大和神社が祭られとる。お宮の拝殿には、みごとな竜の彫り物があるんじゃ。この竜はたいそう腕のええ大工がほったと言われとるが、大工の名は伝わってないんじゃ・・・・",,,,
天の岩,,アウトドア ツーリング 散策 紅葉 自然,吉備中央町岨谷,"34.7485443,133.6831462",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-23-600x400.png,,,,,,"https://www.google.com/maps/place/%E5%A4%A9%E3%81%AE%E5%B2%A9/@34.7485443,133.6831462,17.06z/data=!4m5!3m4!1s0x3556acdd7f056215:0x67946897179c05ad!8m2!3d34.7502852!4d133.6832092",,"宗教家「天の遊峰」の修行場であったと言われ
大きな岩が絶妙なバランスで積み上げられた姿は圧巻。
周囲の裏豪渓の紅葉も必見です。",,,,
スパイスカフェ まからも,,カフェ カレー グルメ スイーツ デート テイクアウト ファミリー ランチ 古民家 地産地消 癒し,吉備中央町西2796,"34.8106816,133.6690995",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-22-600x400.png,080-2887-5186,,,https://www.instagram.com/macaramo_masa/,,"https://www.google.com/maps/place/%E3%82%B9%E3%83%91%E3%82%A4%E3%82%B9%E3%82%AB%E3%83%95%E3%82%A7+%E3%81%BE%E3%81%8B%E3%82%89%E3%82%82/@34.8106816,133.6690995,14.56z/data=!4m5!3m4!1s0x0:0x354d253dfc7e6966!8m2!3d34.80435!4d133.6666684","#### 営業日
土・日・月

#### 営業時間
11:00〜15:00","築１２０年の古民家を自ら改装してできた、ゆったりした時間の流れるカフェ。
縁側やソファでくつろぎながら過ごすことができます。

そして店主が旅した南アジアの料理をベースにしたスパイスカレーは絶品。
さらにキッシュやスイーツなどサイドメニューも豊富で、何度も来たくなること間違いなしです。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
coffee&cakes オーガニカコーヒィ,,カフェ グルメ スイーツ デート テイクアウト 癒し,吉備中央町竹荘3067,"34.8676914,133.6866179",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-20-600x400.png,070-4095-5297,https://organicacoffee.jp,,https://www.instagram.com/organicacoffee/,,"https://www.google.com/maps/place/%E3%82%AA%E3%83%BC%E3%82%AC%E3%83%8B%E3%82%AB%E3%82%B3%E3%83%BC%E3%83%92%E3%82%A3/@34.8676914,133.6866179,16.58z/data=!4m5!3m4!1s0x0:0x25a15161168438ce!8m2!3d34.8705106!4d133.6828991","#### 営業時間
10:00〜17:00（ラストオーダー16:30）

#### 定休日
不定休","道中の狭い道をくぐり抜けた先に見える、まさに「隠れ家」な佇まいのカフェ。

オーガニックで栽培された世界各地のコーヒー豆を、店主の手でじっくり焙煎し淹れるドリップコーヒーは格別です。
お土産にも喜ばれる焼菓子や、からだにやさしい素材にこだわった種類豊富なスイーツは早々に売り切れることも。

気に入ったコーヒー豆や焼菓子はオンラインで購入することもできます。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
鷺の巣温泉 湯本屋旅館,,古民家 宿泊 歴史・文化 温泉 癒し 自然,吉備中央町竹荘492-2,"34.861677,133.6912834",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/ffac8c048e4456c2cab97dd6df9bff5d-600x400.jpg,0866-54-1355,http://saginosuonsen.com,,,,"https://www.google.com/maps/place/%E9%B7%BA%E3%81%AE%E5%B7%A3%E6%B8%A9%E6%B3%89%E6%B9%AF%E6%9C%AC%E5%B1%8B%E6%97%85%E9%A4%A8/@34.861677,133.6912834,20.94z/data=!4m8!3m7!1s0x3556af68dca856c1:0x49acd4d258dc2742!5m2!4m1!1i2!8m2!3d34.8616515!4d133.6911944","宿泊料金

１泊２食付　10,150円～、朝食のみ　7,650円～
夕食のみ　9,650円～、素泊まり　6,650円～

お食事　※要予約
1人 1,500円～

ご宴会　※要予約(3～10名様)
1人 3,000円～

日帰り入浴　※予約制(貸切１時間)
12：00～17：00（不定休）
大人 1,000円　子ども 400円","昭和９年創業。その昔「湯場」として地元の人々に愛されてきた老舗の温泉旅館。

お料理は地元の食材を使用し、季節感を大切にした家庭的な和食が中心です。

温泉は、人皇７代孝霊天皇の御代に発見されました。吉備津彦命の伝説が残る湯は㏗9.8と高く別名「美人の湯」と呼ばれ、湯上りの肌はしっとりとなめらかで湯冷めもしにくいと評判です。

またその昔、漢学者の頼山陽、山田方谷が来遊し、天保１３年に方谷が入湯した際、竹荘の美しさを詠んだ漢詩が残っています。

 

＜民話＞
吉備津彦命と鷺の巣温泉
ずーっとずっと昔のこと、竹荘にはぎょうさん鬼がおったそうな。この鬼は総社の鬼ノ城の方からやって来て住み着いた。そして苦労して作った作物を荒らしたり、盗んだり、女や子どもをさろうたりと、悪いことばかりしとったと・・・・

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
小林豊稔堂,,お土産 グルメ スイーツ テイクアウト パン ファミリー ランチ 地産地消 買い物,吉備中央町竹荘494-1,"34.8616761,133.6912832",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-18-600x400.png,0866-54-1014,http://kobayashi-honendo.com,,,,"https://www.google.com/maps/place/(%E6%9C%89)%E5%B0%8F%E6%9E%97%E8%B1%8A%E7%A8%94%E5%A0%82/@34.8616761,133.6912832,21z/data=!4m5!3m4!1s0x3556af68c2dbde97:0x7206be629e3f19bb!8m2!3d34.861657!4d133.691353","#### 定休日
元旦のみ

#### 営業時間
7:00〜19:00","吉備高原の豊かな自然に育まれた食材を使い、安心・安全な手づくりパン・スイーツを製造、販売しています。

種類豊富なパンや和菓子、洋菓子が取り揃えた地元に愛される素朴な雰囲気のお店です。
溶けない不思議な「くずアイスキャンディー」などお土産や贈り物用の商品も多数あります。

小腹が空いたらぜひこちらへ。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
大久保屋／藤創,,グルメ スイーツ テイクアウト ファミリー ランチ 和食 地産地消 買い物,吉備中央町竹荘789-4,"34.8624199,133.6925285",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-17-600x400.png,0866-54-1413,https://ameblo.jp/md2008420hym,,https://www.instagram.com/ookuboya.fujisou/,,"https://www.google.com/maps/place/%E5%A4%A7%E4%B9%85%E4%BF%9D%E5%B1%8B/@34.8624199,133.6925285,19.17z/data=!4m5!3m4!1s0x3556af67d6776ad1:0xee4bb6f4c8dcaf88!8m2!3d34.862658!4d133.69303","#### 営業日
水～金曜

#### 営業時間
11:00〜13:00","日本に古くから伝わる伝統調味料、麹調味料を使用した “心とからだが喜ぶ「おうちごはん弁当」”を販売する、町で評判のお弁当屋さん。お惣菜も購入できます。

ハイキングやピクニックなど、アウトドアでお出かけの際にぴったりです。

手作りの米粉のシフォンケーキもあり、ふわふわしっとりとした食感でお土産にも◎。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましてはInstagaramアカウントよりご確認ください。",,,,
ふくねこ屋,,グルメ ファミリー ランチ 和食 地産地消 癒し,吉備中央町豊野2810,"34.8841296,133.7100312",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-15-600x400.png,080-5757-2850,,,,,"https://www.google.com/maps/place/%E3%81%B5%E3%81%8F%E3%81%AD%E3%81%93%E5%B1%8B/@34.8841296,133.7100312,20.08z/data=!4m5!3m4!1s0x3556a518dbb4ab29:0xe6d9ac1e2daa311f!8m2!3d34.8842603!4d133.7103206","#### 定休日
月曜日

#### 営業時間
11:00〜14:00","メニューは日替わりお膳の１種類のみ。

野菜は店主ご家族の野菜ソムリエの手で栽培されたものを使用され
さらにお茶はハト麦を主体に、薬草がブレンドされたオリジナルの「ふくねこ茶」を提供しています。

お手頃価格でこだわりある、心のこもった一品たちに満足すること間違いなしです。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
だがしやこばちゃん２号店,,ファミリー 買い物,吉備中央町湯山905-5 （生活マートこばやし）,"34.8554159,133.7361966",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-14-600x400.png,0866-54-1503,,,https://www.instagram.com/dagashiya_kobachan/,,"https://www.google.com/maps/place/%E7%94%9F%E6%B4%BB%E3%83%9E%E3%83%BC%E3%83%88%E3%81%93%E3%81%B0%E3%82%84%E3%81%97/@34.8554159,133.7361966,17.06z/data=!4m5!3m4!1s0x3556a626ab626587:0x1da071737acaa3bb!8m2!3d34.8554888!4d133.7384093","#### 定休日
木曜日

#### 営業時間
平日：10:00～18:00　土日祝：10:00～17:00","子どもも大人も楽しめる駄菓子のお店。生活マートこばやしの中にあります。
昔懐かしい商品や最近人気のお菓子まで、リーズナブルに買い物を楽しめます。

1号店は、吉備高原都市の中心施設「きびプラザ」内で営業しています。
9:00～19:00 で年中無休ですのでこちらもご利用ください。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
お祭り会館,,ツーリング ファミリー 加茂大祭 散策 歴史・文化 神社・仏閣 祭り 記念館・資料館,吉備中央町加茂市場1565,"34.8660459,133.7587679",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-13-600x400.png,0867-35-0039,https://www.town.kibichuo.lg.jp/site/kanko/42.html,,,,"https://www.google.com/maps/place/%E5%90%89%E5%82%99%E4%B8%AD%E5%A4%AE%E7%94%BA+%E3%81%8A%E7%A5%AD%E3%82%8A%E4%BC%9A%E9%A4%A8/@34.8660459,133.7587679,18.97z/data=!4m5!3m4!1s0x3556a7b10f82554b:0x19910c39320908a9!8m2!3d34.8660498!4d133.7590266","#### 営業日
土曜・日曜・祝日

#### 営業時間
10:00〜16:00

#### 料金
一般310円、高・大学生210円、 小・中学生110円","寄宮祭として950年以上の伝統を誇る県下三大祭りのひとつである加茂大祭を中心とした町内各地のお祭りを展示し、貴重な文化遺産として保存・伝承している資料館です。総社宮の向かいにあります。


 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
